"Week start date","Ontario","Algoma Public Health Unit","Brant County Health Unit","Chatham-Kent Health Unit","Durham Region Health Department","Eastern Ontario Health Unit","Grey Bruce Health Unit","Haldimand-Norfolk Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit","Halton Region Health Department","Hamilton Public Health Services","Hastings and Prince Edward Counties Health Unit","Huron Perth Health Unit","Kingston, Frontenac and Lennox and Addington Health Unit","Lambton Public Health","Leeds, Grenville and Lanark District Health Unit","Middlesex-London Health Unit","Niagara Region Public Health Department","North Bay Parry Sound District Health Unit","Northwestern Health Unit","Ottawa Public Health","Peel Public Health","Peterborough Public Health","Porcupine Health Unit","Region of Waterloo, Public Health","Renfrew County and District Health Unit","Simcoe Muskoka District Health Unit","Southwestern Public Health","Sudbury and District Health Unit","Thunder Bay District Health Unit","Timiskaming Health Unit","Toronto Public Health","Wellington-Dufferin-Guelph Health Unit","Windsor-Essex County Health Unit","York Region Public Health"
"2019-12-29"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-01-05"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-01-12"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-01-19"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-01-26"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-02-02"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-02-09"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-02-16"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-02-23"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-03-01"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-03-08"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-03-15"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-03-22"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"," 0.00"
"2020-03-29","11.10"," 2.78","10.00"," 2.56"," 9.35"," 4.60"," 6.40"," 9.60","10.26"," 9.07"," 7.25"," 3.20"," 3.65"," 4.69","19.33","21.90"," 7.77"," 8.22"," 0.00"," 3.33"," 7.80","16.88"," 3.91","10.53","21.54"," 4.17"," 4.83"," 4.09"," 2.33"," 9.00"," 8.11","16.49","10.87","20.83","15.25"
"2020-04-05","11.32"," 0.67"," 8.66"," 6.98","16.63"," 3.30"," 6.60"," 7.87"," 2.97","12.92"," 6.55"," 1.08"," 4.57"," 0.79","14.03","15.26"," 6.97"," 8.38"," 3.07"," 1.00","11.03","17.15"," 2.57"," 2.88","17.22"," 2.03"," 5.33"," 3.77"," 1.60"," 6.23"," 4.42","18.00"," 8.86","17.05","14.65"
"2020-04-12"," 8.54"," 0.43"," 5.13"," 2.59","13.91"," 2.86"," 6.67"," 9.22"," 3.17"," 3.94"," 4.93"," 3.18"," 4.66"," 1.37"," 8.03","10.64"," 4.37"," 4.64"," 1.85"," 1.67"," 9.58","13.56"," 1.93"," 4.91","12.11"," 0.83"," 3.65"," 1.62"," 0.71"," 2.06"," 1.65","12.41"," 4.33"," 9.41","11.13"
"2020-04-19"," 5.68"," 0.30"," 3.55"," 7.24"," 8.78"," 2.75"," 2.43"," 4.80"," 4.81"," 3.73"," 3.09"," 1.94"," 2.35"," 1.14"," 5.18"," 7.91"," 3.10"," 4.63"," 0.00"," 0.19"," 6.12"," 8.67"," 2.61"," 2.06"," 8.18"," 1.32"," 1.81"," 1.25"," 0.73"," 0.70"," 0.53"," 8.89"," 6.56"," 5.08"," 8.56"
"2020-04-26"," 4.61"," 0.43"," 2.18"," 2.48"," 7.47"," 0.84"," 1.09"," 2.33"," 0.70"," 3.22"," 2.17"," 0.46"," 1.06"," 0.41"," 3.83"," 9.25"," 2.16"," 3.46"," 0.12"," 0.23"," 5.26"," 7.32"," 0.38"," 1.33"," 5.39"," 0.74"," 4.16"," 0.56"," 0.31"," 0.34"," 0.48"," 9.51"," 2.57"," 4.50"," 5.39"
"2020-05-03"," 3.63"," 0.38"," 3.03"," 1.05"," 4.56"," 1.48"," 0.59"," 1.19"," 1.22"," 2.38"," 1.25"," 1.65"," 0.29"," 0.46"," 3.60"," 1.98"," 1.95"," 1.18"," 0.11"," 0.00"," 2.83"," 8.26"," 0.48"," 0.65"," 3.23"," 0.08"," 1.41"," 0.71"," 0.33"," 0.16"," 0.46"," 8.54"," 1.64"," 2.76"," 5.42"
"2020-05-10"," 4.55"," 0.77"," 1.00"," 1.32"," 5.89"," 1.32"," 0.83"," 1.08"," 1.79"," 3.57"," 4.37"," 0.89"," 0.42"," 0.22"," 3.88"," 1.63"," 1.20"," 1.75"," 0.94"," 0.88"," 3.13"," 9.56"," 0.78"," 0.70"," 3.23"," 0.44"," 1.32"," 1.15"," 0.31"," 0.12"," 0.00"," 8.97"," 1.88"," 6.17"," 6.71"
"2020-05-17"," 5.57"," 0.74"," 2.24"," 4.25"," 5.11"," 0.84"," 1.28"," 0.87"," 2.00"," 3.51"," 3.12"," 1.95"," 0.59"," 0.30"," 4.33"," 1.92"," 2.45"," 3.05"," 0.20"," 0.27"," 3.63","10.01"," 1.87"," 1.15"," 3.93"," 0.48"," 2.83"," 1.35"," 0.10"," 0.31"," 0.00"," 9.22"," 3.28"," 9.53"," 7.49"
"2020-05-24"," 3.08"," 0.00"," 0.38"," 1.03"," 2.85"," 0.98"," 0.23"," 6.64"," 0.88"," 2.15"," 2.23"," 0.42"," 0.62"," 0.26"," 1.82"," 0.84"," 0.88"," 1.60"," 0.31"," 0.15"," 1.47"," 6.99"," 0.38"," 0.18"," 1.19"," 0.30"," 1.05"," 0.98"," 0.31"," 0.16"," 0.00"," 6.10"," 1.28"," 2.09"," 3.82"
"2020-05-31"," 2.26"," 0.00"," 0.96"," 0.96"," 2.56"," 0.36"," 0.11"," 1.71"," 0.73"," 1.47"," 2.15"," 0.31"," 0.31"," 0.07"," 0.95"," 0.76"," 0.79"," 0.63"," 0.18"," 0.49"," 1.17"," 4.47"," 0.18"," 0.16"," 1.63"," 0.04"," 0.67"," 0.29"," 0.09"," 0.10"," 0.00"," 4.35"," 0.99"," 3.04"," 2.95"
