"Week start date","Ontario","Algoma Public Health Unit","Brant County Health Unit","Chatham-Kent Health Unit","Durham Region Health Department","Eastern Ontario Health Unit","Grey Bruce Health Unit","Haldimand-Norfolk Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit","Halton Region Health Department","Hamilton Public Health Services","Hastings and Prince Edward Counties Health Unit","Huron Perth Health Unit","Kingston, Frontenac and Lennox and Addington Health Unit","Lambton Public Health","Leeds, Grenville and Lanark District Health Unit","Middlesex-London Health Unit","Niagara Region Public Health Department","North Bay Parry Sound District Health Unit","Northwestern Health Unit","Ottawa Public Health","Peel Public Health","Peterborough Public Health","Porcupine Health Unit","Region of Waterloo, Public Health","Renfrew County and District Health Unit","Simcoe Muskoka District Health Unit","Southwestern Public Health","Sudbury and District Health Unit","Thunder Bay District Health Unit","Timiskaming Health Unit","Toronto Public Health","Wellington-Dufferin-Guelph Health Unit","Windsor-Essex County Health Unit","York Region Public Health"
"2019-12-29","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-01-05","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-01-12","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-01-19","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-01-26","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-02-02","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-02-09","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-02-16","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-02-23","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
"2020-03-01","14726022","117637","153604","106975","713532","216011","176182","120025","191152","610116","582966","172830","146315","209260","132592","179841","510109","481700","129721","81443","1044484","1558793","147848","85030","604683","108744","605206","219045","205137","157423","34007","2984054","312535","427471","1199551"
