"Week.start.date","Ontario","Algoma Public Health Unit","Brant County Health Unit","Chatham-Kent Health Unit","Durham Region Health Department","Eastern Ontario Health Unit","Grey Bruce Health Unit","Haldimand-Norfolk Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit","Halton Region Health Department","Hamilton Public Health Services","Hastings and Prince Edward Counties Health Unit","Huron Perth Health Unit","Kingston, Frontenac and Lennox and Addington Health Unit","Lambton Public Health","Leeds, Grenville and Lanark District Health Unit","Middlesex-London Health Unit","Niagara Region Public Health Department","North Bay Parry Sound District Health Unit","Northwestern Health Unit","Ottawa Public Health","Peel Public Health","Peterborough Public Health","Porcupine Health Unit","Region of Waterloo, Public Health","Renfrew County and District Health Unit","Simcoe Muskoka District Health Unit","Southwestern Public Health","Sudbury and District Health Unit","Thunder Bay District Health Unit","Timiskaming Health Unit","Toronto Public Health","Wellington-Dufferin-Guelph Health Unit","Windsor-Essex County Health Unit","York Region Public Health"
"2019-12-29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2020-01-05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2020-01-12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2020-01-19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2020-01-26","0.01","0.00","0.01","0.00","0.01","0.01","0.00","0.01","0.01","0.01","0.01","0.01","0.00","0.01","0.00","0.01","0.00","0.01","0.00","0.00","0.01","0.01","0.01","0.00","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.01"
"2020-02-02","0.04","0.01","0.04","0.01","0.02","0.06","0.01","0.04","0.02","0.04","0.04","0.06","0.01","0.06","0.01","0.06","0.01","0.04","0.01","0.03","0.06","0.02","0.02","0.01","0.04","0.06","0.02","0.01","0.01","0.03","0.01","0.05","0.04","0.01","0.02"
"2020-02-09","0.12","0.02","0.11","0.10","0.06","0.13","0.10","0.11","0.06","0.11","0.11","0.13","0.10","0.13","0.10","0.13","0.10","0.11","0.02","0.07","0.13","0.06","0.06","0.02","0.11","0.13","0.06","0.10","0.02","0.07","0.02","0.14","0.11","0.10","0.06"
"2020-02-16","0.17","0.02","0.11","0.10","0.07","0.17","0.10","0.11","0.07","0.11","0.11","0.17","0.10","0.17","0.10","0.17","0.10","0.11","0.02","0.08","0.17","0.07","0.07","0.02","0.11","0.17","0.07","0.10","0.02","0.08","0.02","0.21","0.11","0.10","0.07"
"2020-02-23","0.20","0.03","0.12","0.11","0.07","0.24","0.11","0.12","0.07","0.12","0.12","0.24","0.11","0.24","0.11","0.24","0.11","0.12","0.03","0.14","0.24","0.07","0.07","0.03","0.12","0.24","0.07","0.11","0.03","0.14","0.03","0.23","0.12","0.11","0.07"
"2020-03-01","0.21","0.03","0.13","0.11","0.07","0.26","0.11","0.13","0.07","0.13","0.13","0.26","0.11","0.26","0.11","0.26","0.11","0.13","0.03","0.15","0.26","0.07","0.07","0.03","0.13","0.26","0.07","0.11","0.03","0.15","0.03","0.23","0.13","0.11","0.07"
"2020-03-08","0.22","0.04","0.13","0.12","0.07","0.28","0.12","0.13","0.07","0.13","0.13","0.28","0.12","0.28","0.12","0.28","0.12","0.13","0.04","0.17","0.28","0.07","0.07","0.04","0.13","0.28","0.07","0.12","0.04","0.17","0.04","0.24","0.13","0.12","0.07"
"2020-03-15","0.23","0.05","0.14","0.12","0.07","0.31","0.12","0.14","0.07","0.14","0.14","0.31","0.12","0.31","0.12","0.31","0.12","0.14","0.05","0.17","0.31","0.07","0.07","0.05","0.14","0.31","0.07","0.12","0.05","0.17","0.05","0.24","0.14","0.12","0.07"
"2020-03-22","0.24","0.05","0.14","0.12","0.07","0.34","0.12","0.14","0.07","0.14","0.14","0.34","0.12","0.34","0.12","0.34","0.12","0.14","0.05","0.18","0.34","0.07","0.07","0.05","0.14","0.34","0.07","0.12","0.05","0.18","0.05","0.25","0.14","0.12","0.07"
"2020-03-29","0.24","0.06","0.15","0.13","0.08","0.36","0.13","0.15","0.08","0.15","0.15","0.36","0.13","0.36","0.13","0.36","0.13","0.15","0.06","0.19","0.36","0.08","0.08","0.06","0.15","0.36","0.08","0.13","0.06","0.19","0.06","0.26","0.15","0.13","0.08"
"2020-04-05","0.25","0.06","0.15","0.13","0.08","0.39","0.13","0.15","0.08","0.15","0.15","0.39","0.13","0.39","0.13","0.39","0.13","0.15","0.06","0.20","0.39","0.08","0.08","0.06","0.15","0.39","0.08","0.13","0.06","0.20","0.06","0.26","0.15","0.13","0.08"
"2020-04-12","0.26","0.06","0.16","0.13","0.08","0.41","0.13","0.16","0.08","0.16","0.16","0.41","0.13","0.41","0.13","0.41","0.13","0.16","0.06","0.20","0.41","0.08","0.08","0.06","0.16","0.41","0.08","0.13","0.06","0.20","0.06","0.27","0.16","0.13","0.08"
"2020-04-19","0.26","0.07","0.16","0.13","0.08","0.43","0.13","0.16","0.08","0.16","0.16","0.43","0.13","0.43","0.13","0.43","0.13","0.16","0.07","0.20","0.43","0.08","0.08","0.07","0.16","0.43","0.08","0.13","0.07","0.20","0.07","0.27","0.16","0.13","0.08"
"2020-04-26","0.27","0.07","0.16","0.13","0.08","0.44","0.13","0.16","0.08","0.16","0.16","0.44","0.13","0.44","0.13","0.44","0.13","0.16","0.07","0.21","0.44","0.08","0.08","0.07","0.16","0.44","0.08","0.13","0.07","0.21","0.07","0.27","0.16","0.13","0.08"
"2020-05-03","0.27","0.07","0.16","0.13","0.09","0.45","0.13","0.16","0.09","0.16","0.16","0.45","0.13","0.45","0.13","0.45","0.13","0.16","0.07","0.21","0.45","0.09","0.09","0.07","0.16","0.45","0.09","0.13","0.07","0.21","0.07","0.28","0.16","0.13","0.09"
"2020-05-10","0.27","0.07","0.16","0.12","0.09","0.46","0.12","0.16","0.09","0.16","0.16","0.46","0.12","0.46","0.12","0.46","0.12","0.16","0.07","0.20","0.46","0.09","0.09","0.07","0.16","0.46","0.09","0.12","0.07","0.20","0.07","0.28","0.16","0.12","0.09"
"2020-05-17","0.27","0.08","0.16","0.12","0.09","0.46","0.12","0.16","0.09","0.16","0.16","0.46","0.12","0.46","0.12","0.46","0.12","0.16","0.08","0.20","0.46","0.09","0.09","0.08","0.16","0.46","0.09","0.12","0.08","0.20","0.08","0.28","0.16","0.12","0.09"
"2020-05-24","0.27","0.08","0.16","0.12","0.09","0.45","0.12","0.16","0.09","0.16","0.16","0.45","0.12","0.45","0.12","0.45","0.12","0.16","0.08","0.20","0.45","0.09","0.09","0.08","0.16","0.45","0.09","0.12","0.08","0.20","0.08","0.28","0.16","0.12","0.09"
"2020-05-31","0.27","0.08","0.16","0.12","0.10","0.44","0.12","0.16","0.10","0.16","0.16","0.44","0.12","0.44","0.12","0.44","0.12","0.16","0.08","0.19","0.44","0.10","0.10","0.08","0.16","0.44","0.10","0.12","0.08","0.19","0.08","0.28","0.16","0.12","0.10"
"2020-06-07","0.27","0.08","0.15","0.11","0.10","0.44","0.11","0.15","0.10","0.15","0.15","0.44","0.11","0.44","0.11","0.44","0.11","0.15","0.08","0.19","0.44","0.10","0.10","0.08","0.15","0.44","0.10","0.11","0.08","0.19","0.08","0.28","0.15","0.11","0.10"
"2020-06-14","0.27","0.09","0.15","0.11","0.11","0.43","0.11","0.15","0.11","0.15","0.15","0.43","0.11","0.43","0.11","0.43","0.11","0.15","0.09","0.19","0.43","0.11","0.11","0.09","0.15","0.43","0.11","0.11","0.09","0.19","0.09","0.29","0.15","0.11","0.11"
"2020-06-21","0.27","0.09","0.15","0.11","0.11","0.42","0.11","0.15","0.11","0.15","0.15","0.42","0.11","0.42","0.11","0.42","0.11","0.15","0.09","0.18","0.42","0.11","0.11","0.09","0.15","0.42","0.11","0.11","0.09","0.18","0.09","0.29","0.15","0.11","0.11"
"2020-06-28","0.27","0.09","0.15","0.11","0.12","0.41","0.11","0.15","0.12","0.15","0.15","0.41","0.11","0.41","0.11","0.41","0.11","0.15","0.09","0.18","0.41","0.12","0.12","0.09","0.15","0.41","0.12","0.11","0.09","0.18","0.09","0.29","0.15","0.11","0.12"
"2020-07-05","0.27","0.09","0.15","0.11","0.12","0.41","0.11","0.15","0.12","0.15","0.15","0.41","0.11","0.41","0.11","0.41","0.11","0.15","0.09","0.18","0.41","0.12","0.12","0.09","0.15","0.41","0.12","0.11","0.09","0.18","0.09","0.29","0.15","0.11","0.12"
"2020-07-12","0.27","0.10","0.16","0.11","0.13","0.40","0.11","0.16","0.13","0.16","0.16","0.40","0.11","0.40","0.11","0.40","0.11","0.16","0.10","0.18","0.40","0.13","0.13","0.10","0.16","0.40","0.13","0.11","0.10","0.18","0.10","0.29","0.16","0.11","0.13"
"2020-07-19","0.31","0.10","0.18","0.14","0.19","0.48","0.14","0.18","0.19","0.18","0.18","0.48","0.14","0.48","0.14","0.48","0.14","0.18","0.10","0.23","0.48","0.19","0.19","0.10","0.18","0.48","0.19","0.14","0.10","0.23","0.10","0.31","0.18","0.14","0.19"
"2020-07-26","0.32","0.10","0.19","0.15","0.20","0.51","0.15","0.19","0.20","0.19","0.19","0.51","0.15","0.51","0.15","0.51","0.15","0.19","0.10","0.25","0.51","0.20","0.20","0.10","0.19","0.51","0.20","0.15","0.10","0.25","0.10","0.32","0.19","0.15","0.20"
"2020-08-02","0.33","0.10","0.20","0.16","0.21","0.54","0.16","0.20","0.21","0.20","0.20","0.54","0.16","0.54","0.16","0.54","0.16","0.20","0.10","0.26","0.54","0.21","0.21","0.10","0.20","0.54","0.21","0.16","0.10","0.26","0.10","0.32","0.20","0.16","0.21"
"2020-08-09","0.34","0.10","0.21","0.17","0.22","0.57","0.17","0.21","0.22","0.21","0.21","0.57","0.17","0.57","0.17","0.57","0.17","0.21","0.10","0.28","0.57","0.22","0.22","0.10","0.21","0.57","0.22","0.17","0.10","0.28","0.10","0.33","0.21","0.17","0.22"
"2020-08-16","0.36","0.09","0.22","0.19","0.24","0.64","0.19","0.22","0.24","0.22","0.22","0.64","0.19","0.64","0.19","0.64","0.19","0.22","0.09","0.31","0.64","0.24","0.24","0.09","0.22","0.64","0.24","0.19","0.09","0.31","0.09","0.34","0.22","0.19","0.24"
